unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
182,The Starry Night,2,The painting makes me feel calm.,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,3,3,I would pay $200 for this painting.,"Office,Living room","Friends,Family members",Summer,"If this painting was a food, I would describe it as a chocolate cake.",Lofi hip hop is what I imagine when viewing this painting.
182,The Water Lily Pond,5,The painting makes me feel overwhelmed by the colours.,2 - Disagree,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2,2,I would spend up to $20 for this painting.,"Bedroom,Bathroom,Dining room",By yourself,"Spring,Summer",Something with too many flavours.,"A calm classical piece, maybe by Bach, would fit well."
183,The Persistence of Memory,9,"nostalgic, sad, empty, melancholic",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,2,5,10,Office,"Strangers,By yourself",Fall,soup,"a melancholic piece with a varying tempos, and a motif that reappears in many different variations"
183,The Starry Night,6,"calm, relaxed, curious",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,500,Bedroom,"Friends,Family members",Summer,eclair,a nocturne on piano
183,The Water Lily Pond,7,"joyful, energized",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,1,100,Living room,"Friends,Family members,Coworkers/Classmates",Spring,cake,lighthearted and playful
184,The Persistence of Memory,8,Chaotic ,3 - Neutral/Unsure,1 - Strongly disagree,4 - Agree,2 - Disagree,5,7,100 million ,"Bedroom,Office",By yourself,Fall,Butter ,The sound when ice melting 
184,The Starry Night,7,It bring me a feeling of dizzy ,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,3,3,10 billion ,"Bedroom,Bathroom",Family members,Summer,Cocktail ,Sound of wind 
184,The Water Lily Pond,4,Easy and relax ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,100 million ,Living room,Family members,Spring,Salad ,Sound of stream 
185,The Persistence of Memory,6,I feel sad like time is drooping and melting away,4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,4,3,100,Dining room,Strangers,Spring,A bowl of noodles,A weirdly peaceful soundtrack in a minor key
185,The Starry Night,3,Sleepy and gloomy,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,10000,Bathroom,"Friends,Family members","Summer,Fall",Ramen,Calm and peaceful sounding
185,The Water Lily Pond,7,Bright and cheerful,1 - Strongly disagree,4 - Agree,3 - Neutral/Unsure,1 - Strongly disagree,1,1,499,Living room,By yourself,Spring,Afternoon tea,Cheerful and playful
186,The Persistence of Memory,6,"It's a heavy feeling that's dense, muggy, depressing, and lethargic, like trying to read a difficult scientific paper on a hot and humid day.",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,3,4,0,Living room,Friends,Summer,stale pizza,"Slow, melodic, and in a minor key, with few instruments that include a deep woodwind like a bassoon."
186,The Starry Night,7,"Calm, peaceful, and content in the quiet and mild kind of way.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,100,"Bedroom,Office,Living room,Dining room","Friends,Family members","Spring,Fall",blueberry yogourt,"A smooth, quiet piano melody in the major key, like the kind that you would fall asleep to."
186,The Water Lily Pond,4,"Happy and relaxed, like laying in the grass under the sun.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,1,130,"Living room,Dining room","Friends,Family members","Spring,Summer","A flaky, floral pastry (eg. Yunnan rose flower cakes)","A light, upbeat tune with few instruments and no bass; more specifically, a flute with piano and/or violin"
187,The Persistence of Memory,7,"The lines for the clocks are very sharp, which makes them stand out a lot, highlighting how time remains after everything else is gone. The overall mood appears to be desolate and dreary, with the lack of life and empty terrain.",4 - Agree,2 - Disagree,4 - Agree,4 - Agree,3,5,$0,"Office,Living room","Friends,Coworkers/Classmates",Fall,Pizza with pepperoni slices on it.,A gloomy soundtrack that brings to mind death and decay.
187,The Starry Night,8,"The painting makes me feel restless, as it appears to be constantly moving due to the strokes of the wind and the hills. The sky appears to hypnotize with the swirling wind and stars. There is also a sense of darkness in the painting with the dark force of nature branching into the sky, far above the settlements. ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,3,3,$50. It's a famous painting.,"Bedroom,Office,Living room","Friends,Coworkers/Classmates",Winter,"Dark chocolate, bitter and darkly colored.","Soft, sombre tone that increases in volume and frequency, leading to a crescendo of sound."
187,The Water Lily Pond,9,"I feel peaceful and calm when looking at this painting. The colors are light and fit together so the art appears natural and easy to look at. The plants appear to be moving with a cool breeze, which adds to the serenity of the piece.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,1,$20. It's a pretty painting that I wouldn't mind showing.,"Bedroom,Living room","Family members,By yourself",Spring,Warm porridge or congee.,A calm and soothing soundtrack that relaxes the mind.
188,The Persistence of Memory,8,"This painting makes me feel lonely and oddly calm. I would imagine this is where I go after I die. To a place where time loses its meaning and you're just alone with the universe, listening to its ebbs and flows. ",4 - Agree,5 - Strongly agree,5 - Strongly agree,3 - Neutral/Unsure,3,1,20,Living room,"Family members,By yourself","Summer,Fall","White, unseasoned, rice that is cooked to perfection. You would have the rice with a japanese whisky so you can enjoy the after taste of the whisky and calm it down with the rice.","I would listen to this sound track on long road trips. It would be calm, solmn, with steady techno beats in the background while the synth leads the main melody of the song with a continuous rhythm. "
188,The Starry Night,9,This painting makes me excited about life. It makes me want to explore places where I never went to before. It makes me want to deeply fall in love with someone and take awesome adventures together. ,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,1000,Bedroom,"Family members,By yourself","Fall,Winter",durian,"This sound track would be played by an orchestra, with violin as the main lead for the melody. The sound track would sound pensive and hopeful. The melody would sound smooth and beautiful, with natural rises and falls in volume mimicking the ebbs and flows of nature."
188,The Water Lily Pond,6,"This painting makes me joyful and happy. It fills me with hope and makes me look forward to the day. Actually, it just made my day.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,1,500,"Office,Dining room","Friends,Family members,Coworkers/Classmates,Strangers","Spring,Summer",Pear,It would be a giddy and energetic soundtrack filled with blissful melodies and quirky percussions. The melody would be upliting and tempo would be medium to fast.
189,The Persistence of Memory,8,"This painting makes me feel intrigued and curious. It makes me really think about its contents and what the message is. When looking at the painting, I want to understand what the artist was thinking. It is very unique and not indicative of the real world, making me think even harder about what message is supposed to be conveyed.",4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,9,7,30$,"Office,Living room,Dining room","Strangers,By yourself",Summer,Ice cream,"I imagine the soundtrack would be either an entirely slow song, or a song that gets slower and slower. It would be soft and depressing too."
189,The Starry Night,5,"It makes me feel nice, it is a pretty sight to look at. It makes me imagine real life since it is shares some resemblance to it and elevates the view in a unique way. It is really cool and pretty.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,5,3,40$,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Fall,Winter",Blueberry frozen yoghurt,"The soundtrack would be dark and mysterious, but not in a scary way, in a cool way. It would have lots of sharps and black keys that seem aggressive to keep the song interesting. But it would be a nice song to listen to on a cold winter day."
189,The Water Lily Pond,8,It makes me feel very happy and light. It reminds me of sunshine and nature in a beautiful way. It is also very calming to look at.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,1,50$,"Bedroom,Bathroom,Living room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Strawberry,"The soundtrack would be in a major or augmented key, invoking extremely joyous emotions. It would be bright, very upbeat, and really enjoyable to listen to. It would be a great song to listen to on a summer walk in nature, making you want to skip. The music would make people smile and feel warm."
190,The Persistence of Memory,6,The warped clocks seem to convey that memory lasts through time. It makes me feel nostalgic in some ways.,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,4,1,"$400,000",Office,"Friends,By yourself","Spring,Fall","Something warm and bright, like tomato soup",Slow calm serenade
190,The Starry Night,4,Calm and peaceful as if I'm actually looking at a starry night.,5 - Strongly agree,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,2,2,"$700,000",Living room,"Coworkers/Classmates,Strangers",Fall,Filet mignon steak,Soft and slow violin. Maybe a piano.
190,The Water Lily Pond,3,It's very vibrant so it feels happier than some of the other paintings but also louder.,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,1,1,"$200,000",Bathroom,Friends,"Spring,Summer",A salad.,Something like the Lord of the Rings soundtrack for the Hobbits (very joyful upbeat instrumental).
191,The Persistence of Memory,8,"I feel bad. The island was deserted and uninhabited; the clocks were bent and folded, as if evaporating and flowing away—a desolate and forlorn scene, as if isolated from the world and forgotten on the island.",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,6,6,around 5 dollars,Bathroom,"Friends,Coworkers/Classmates",Winter,"It will be spaghetti. Especially the kind where the noodles are stiff, the meat sauce is not fresh, and it looks unappetizing.","The music is very sad and slow, conveying a sense of sorrow and desolation."
191,The Starry Night,4,"I feel not bad. In the quiet night, the sky doesn't seem static, but rather slowly moving; this view made me appreciate the beauty of the night sky.Very soothing and stress-relieving",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,5,3,around 100 dollars,"Bedroom,Bathroom","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer,Fall","Steak. The food isn't particularly brightly colored,visually striking, or eye-catching, but the taste is surprisingly delightful and enjoyable.","The music is very soothing and relaxing, like a lullaby, which can help you drift off to sleep comfortably."
191,The Water Lily Pond,6,I felt relaxed and happy; the bright scenery made me feel joyful and energetic.,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,4,50 dollars,"Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Spring,"Cake. Those cakes that look appealing make you want to eat them and bring you joy. It tastes good too, sweet and very flavorful.","The upbeat song, with its fast and energetic rhythm, is very relaxing and can invigorate people, creating an overall pleasant and relaxed atmosphere."
192,The Persistence of Memory,5,"Confusion and vague foreboding, like something bad happened here",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,6,9,$40,"Office,Dining room",By yourself,Fall,Salmon,"Discordant, high-pitched violins punctuated by silence"
192,The Starry Night,6,Awed and contented,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,4,$60,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Potato leek soup,Like a calmer version of Smetana's The Moldau
192,The Water Lily Pond,7,Peaceful and a bit sleepy,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,7,7,$60,"Bedroom,Bathroom","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Chamomile tea,Lo-fi piano with some nature sounds
193,The Persistence of Memory,5,It makes me feeled somewhat at peace but also uneasy,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,8,4,$40,Bathroom,By yourself,Summer,eggs,The soundtrack would be a wave hitting the ground
193,The Starry Night,7,worried,4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,1,$500,"Office,Living room,Dining room","Family members,By yourself",Fall,bread,an intense soundtrack 
193,The Water Lily Pond,6,Make me feel pretty happy,2 - Disagree,5 - Strongly agree,4 - Agree,2 - Disagree,5,2,$500,"Bedroom,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Pizza,Like a spring soundtrack
194,The Persistence of Memory,8,"this is an abnormal painting, makes me feel like time and the clock is melting down, very pathetic and makes me wonder if it is the desert in the background that melts the time or someone else. We can physically melt down clock but not time. ",5 - Strongly agree,3 - Neutral/Unsure,1 - Strongly disagree,3 - Neutral/Unsure,3,5,Personally I am more optimistic so this painting is not the type I will buy. So maybe $100,Bathroom,By yourself,Summer,"it would be a spicy food, like tacos. Because some tacos can be really spicy and hot which makes me unhappy. ","the sound track of clicking sounds, hot wind blowing, maybe some cowboy sounds. "
194,The Starry Night,6,"this painting makes me feel a little dissy, even though it is a famous art work it doesn't really bring calm to me. However, it is a very special painting that I will stop by and look at it and try to feel what the painter is trying to express. ",4 - Agree,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,7,5,"$10,000","Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Winter,swirling blue berry smoothie bowl because it will just look liek the painting. ,the background music of interstellar 
194,The Water Lily Pond,10,"I love this painting, this painting gives me the warm, calming, bird chipping, joyful, peaceful and I can feel the sun shining on my body. I feel like I am in the painting, smelling the lotus flower, is a nice sunday afternoon in spring where I am taking a walk in the park, and I saw this view. I feel really relaxing with this painting. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,5,"$100,000,000","Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members",Spring,It would be a matcha and white choclate cheese cake. ,"it would have water pond, frog sounds, bird chipping, wind blowing through trees. "
195,The Persistence of Memory,8,"Melty, time slipping by",3 - Neutral/Unsure,2 - Disagree,2 - Disagree,4 - Agree,8,8,100,Dining room,By yourself,Winter,Extremely old wine,A song that makes you feel very aware of the passage of time and forgetting the past
195,The Starry Night,5,Very cozy,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,12,6,200,"Bedroom,Office,Living room,Dining room",Family members,"Fall,Winter",Chicken noodle soup,A very calming classical piano melody
195,The Water Lily Pond,8,"Very peaceful, connected to the Earth",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,8,4,1000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members",Summer,Salad,A beautifully sylvan melody that reminds you of how nice nature is
196,The Persistence of Memory,7,This painting feels depressing. I feel like its contents perfectly embody nihilism. It makes me feel like there is no hope in the future.,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,4,4,250,Office,"Friends,Coworkers/Classmates",Spring,Spaghetti,A slow song with a soft violin in the background and ambient background noises.
196,The Starry Night,9,"It makes me feel a bit chaotic, as though I were in a fever dream or drunk. It feels very whimsical.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,3,3,400,Living room,"Family members,By yourself",Summer,Macaron,A classical song with a violin and trombone in the background paced somewhat faster than the average song.
196,The Water Lily Pond,8,This painting makes me feel at peace and relaxed. It makes me feel like I have nothing to worry about and that I should take things slow.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,325,Living room,"Friends,Strangers",Spring,Lotus cookie,"A slow, but uplifting oriental song with the flute and the piano."
197,The Persistence of Memory,7,We all have memories that we are unable to forget no matter how much time has passed. The painting makes me think of what is my persistence memory? is it a bad memory that i am still trapped or a good one that i cherish dearly? the painting illustrated the time as it is thinning so much that it can sit on the thin branch of tree ,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,5,"$12,000",Office,By yourself,Fall,steamed dumplings,time is flipping away and the people we shared the memories may not be present with us but the memories are still there
197,The Starry Night,9,anxious depressed,5 - Strongly agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,3,2,"$1,200,000",Living room,Family members,Winter,spicy chicken,personal struggles with mental health
197,The Water Lily Pond,7,"sunny day, fresh air, i can even smell the air",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,2,2,"$150,000","Living room,Dining room",Family members,Summer,fish and chips,"relief from the real world, here comes the sun, no matter what happens the sun will always be up there"
198,The Persistence of Memory,8,"This painting makes me feel quietly uneasy, but also strangely calm. The melting clocks give me that sinking, dreamlike feeling of time slipping away, like minutes and hours aren’t solid anymore. It reminds me of those moments when you’re exhausted or stressed and the day blurs together—time feels stretchy, unreal, and hard to control.

 ",4 - Agree,4 - Agree,5 - Strongly agree,4 - Agree,7,5,10000,Office,Family members,Fall,slightly-melted ice cream,"It would sound like a slow, dream-bent ambient track that barely moves forward—more like it floats"
198,The Starry Night,10,"This painting makes me feel wide awake and emotional at the same time—like my thoughts are moving fast, but there’s also a deep calm underneath.

 ",3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,20,4,9000000,Living room,"Friends,Family members,By yourself",Summer,It would be blueberry lemon cheesecake,"It would be a soaring, spinning piece of music that feels both emotional and unstoppable."
198,The Water Lily Pond,5,"This one makes me feel peaceful and refreshed, like my brain finally got a chance to breathe.

 ",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,30,2,5000,Bedroom,Family members,Spring,It would be a fresh fruit tart with pistachio cream.,"It would feel like quiet happiness, the kind that doesn’t need words."
199,The Persistence of Memory,7,"Nostalgic, aging, temporary",4 - Agree,2 - Disagree,4 - Agree,4 - Agree,3,4,$500,"Living room,Dining room",By yourself,Summer,Fruit bowl,"Ambient noises, wind, nature noises"
199,The Starry Night,6,"Tired, isolated",5 - Strongly agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,2,2,"$1,000","Bedroom,Living room",Friends,"Spring,Winter",Clam chowder,"Calm, electronic music"
199,The Water Lily Pond,6,Energized,1 - Strongly disagree,4 - Agree,2 - Disagree,1 - Strongly disagree,1,1,$300,"Bedroom,Office",Strangers,Spring,Charcuterie board,"Birds, bright-sounding music"
200,The Persistence of Memory,8,Warm,4 - Agree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,5,4,0,"Office,Living room",By yourself,Summer,Pancake,Sombre
200,The Starry Night,6,Cold,3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,3,2,0,Living room,By yourself,Summer,Pizza,Sombre
200,The Water Lily Pond,8,Cozy,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,1,2,0,Living room,By yourself,Spring,Salad,Playful
201,The Persistence of Memory,7,"It makes me feel slightly weird and uneasy, and reflective, as if time has slowed down and reality feels uncertain.",4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,4,11,1000,Living room,By yourself,Summer,Melted cheese,The footsteps of a high school teacher in the back of the classroom
201,The Starry Night,5,It makes me feel comfortable and calm and a bit dizzy.,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,2,10000,"Bedroom,Bathroom","Friends,Family members",Winter,Ice cream,Classic music
201,The Water Lily Pond,3,It makes me relaxed and peaceful without any sense of urgency and pressure.,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,4,10000,"Bedroom,Living room,Dining room","Family members,By yourself",Summer,Tea,Bird song
202,The Persistence of Memory,7,I feel sadness and doom because the painting describes time slipping away in the foreground while a beautiful sunrise or sunset is appearing on the horizon. ,5 - Strongly agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4,5,$20,Office,"Strangers,By yourself",Spring,Lemon,Catholic classical orchestral melody with church choir singing and lots of dynamics. 
202,The Starry Night,3,"I feel at peace, wondrous, and infinite. ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,2,$50,"Bedroom,Living room,Dining room","Friends,Family members,By yourself",Winter,Spaghetti,Relaxing staccato chimes and piano melody that lull you to sleep. 
202,The Water Lily Pond,2,"I feel fresh, warm, and excited for what is yet to come.  ",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,1,$25,"Bathroom,Living room","Friends,Family members,By yourself",Spring,Strawberry,Soft energetic strumming on a guitar with ethereal singing. 
203,The Persistence of Memory,7,"The painting makes me feel a sense of exhaustion, gloom, nervousness and sadness.",5 - Strongly agree,1 - Strongly disagree,2 - Disagree,4 - Agree,6,7,"If I had to purchase this painting, I would pay 100 dollars.",Office,By yourself,Winter,A cold bowl of ground beef and rice,"A string quartet that plays mostly dissonant sounds, with hints of happy harmony here and there, but still mostly negative sound."
203,The Starry Night,5,The painting makes me feel like I am sitting in front of a warm campfire during the winter.,2 - Disagree,4 - Agree,5 - Strongly agree,2 - Disagree,4,4,I would pay 400 dollars for this painting.,"Bedroom,Living room","Friends,Family members,By yourself",Winter,A warm bowl of dumpling soup.,"A melodic guitar piece with a warm melody, but with a series of sad notes at the end."
203,The Water Lily Pond,8,I feel warmth and tranquility with hints of childlike excitement.,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,1,I would be willing to purchase this painting for 250 dollars.,"Bathroom,Living room,Dining room","Family members,By yourself",Spring,A pepperoni pizza.,A piano melody full of consonance and happy chords.
204,The Persistence of Memory,7,"This painting evokes a sense of unease and contemplation. The strange, melting objects create a dreamlike atmosphere that feels both fascinating and slightly disturbing. It makes me feel like time itself is bending and becoming unreliable, which creates a reflective mood about the nature of reality and perception.",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,6,50000,Living room,Friends,Summer,"Melted cheese on toast - something that's transformed from its original form into something droopy and soft, with warm golden colors that mirror the painting's palette.","A slow, ambient piece with echoing piano notes that seem to stretch and distort. Occasional deep, resonant tones create a sense of vast emptiness, while gentle synthesizer waves suggest something gradually softening and dissolving. The tempo would be unhurried, almost as if time itself is moving differently."
204,The Starry Night,8,"This painting fills me with a sense of wonder and awe. The swirling movement in the sky creates a feeling of energy and dynamism, almost as if the universe is alive and breathing. It's both peaceful and exhilarating at the same time - the quiet village below contrasts beautifully with the turbulent, magical sky above.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4,7,75000,Bedroom,Family members,Winter,"Blueberry pie with whipped cream and a dusting of golden sugar stars - rich, deep blue swirls with bright yellow accents, both comforting and magical.","A sweeping orchestral piece that builds from soft, peaceful strings into a magnificent crescendo. Violins swirl upward in spiraling phrases, with bright brass punctuating moments of wonder. The music has a sense of movement and energy, yet underlying it all is a gentle, comforting melody that evokes quiet contemplation of something vast and beautiful."
204,The Water Lily Pond,5,"This painting makes me feel profoundly peaceful and relaxed. The soft, dappled colors and gentle reflections in the water create a meditative atmosphere. Looking at it feels like taking a deep breath of fresh garden air. It evokes a sense of harmony with nature and a desire to sit quietly and enjoy the simple beauty of the natural world.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,4,60000,Living room,By yourself,Summer,"Fresh garden salad with edible flowers - light, refreshing, and full of natural greens with delicate pops of color, evoking the same sense of tranquility and connection to nature.","A gentle, impressionistic piece featuring soft harp arpeggios and delicate flute melodies drifting over barely audible sounds of nature. The music would flow like water, with peaceful woodwinds creating a sense of dappled sunlight. Occasional quiet moments of silence add to the meditative quality, inviting the listener to simply breathe and be present."
205,The Persistence of Memory,7,"unsettled and uneasy and a certain strangeness, but also serene and peaceful. There is also a sense of sleepiness and passage of time.",4 - Agree,2 - Disagree,4 - Agree,5 - Strongly agree,5,7,500,Bedroom,By yourself,Fall,Meat stew,Slow tempo and somber but warm low strings with occasional dissonant and creepy higher strings. 
205,The Starry Night,8,Content and grateful for the world and peaceful. Makes me appreciate the world as is and find beauty in it.,2 - Disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,5,3,10000,"Bedroom,Living room","Friends,Family members",Winter,Blueberry vanilla cake,"Wandering gentle flute melody beneath warm orchestral string swells, with no predictable rhythm or phrasing for the melody. Also have fluttering and soft piano arpeggios and runs that come in and out"
205,The Water Lily Pond,6,at peace and warm. Happy and playful with child-like joy,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,1,8000,"Office,Living room,Dining room","Strangers,By yourself",Summer,Fruit custard / danish,Folky song with occasional fast fluttering runs on the flute and piano and happy and warm accompaniment on folk guitar with simple and fast percussion. Warm and excited female vocalist sings.
206,The Persistence of Memory,9,"It leaves me feeling hollow, contemplating the nature of time and those imperfect pasts. Reflecting on how they fade within time and eventually melt together.",5 - Strongly agree,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,3,7,100,Bedroom,By yourself,Fall,Dried bread,"The soundtrack features monochromatic music with repetitive rhythms and melodies, punctuated by occasional dissonance after a few notes. Overall, it conveys a sense of vastness and desolation."
206,The Starry Night,9,"I felt the grandeur, the rhythm of celestial bodies, and the passage of time. It captured the beauty of the stars' movement. The colors are harmoniously applied, instantly immersing you in the scene.",2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,5,1000000,"Bedroom,Living room","Friends,By yourself","Summer,Winter",Cake,"The soundtrack carries a cool undertone while radiating a warm power. It draws our attention to that place where, sitting there, I can hear the wind and feel time shifting. It resembles natural sounds, tinged with just a hint of human noise."
206,The Water Lily Pond,5,"A tranquil, natural, and leisurely life in my twilight years. In a secluded garden, on a lazy afternoon, I caught a glimpse of it, and so it remained etched in my memory",1 - Strongly disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,1 - Strongly disagree,3,4,100000,"Office,Living room,Dining room","Family members,By yourself","Spring,Summer",Peppermint water," Ambient music, featuring gentle water flow and wind sounds. Includes the rustling of plants swaying in the breeze and the chirping of insects."
207,The Persistence of Memory,7,"it feels calm and a little desolate with all the empty space, but also a bit unusual since it is not an image typically seen in our real world",4 - Agree,3 - Neutral/Unsure,5 - Strongly agree,4 - Agree,4,5,$75,"Living room,Dining room","Family members,Coworkers/Classmates","Summer,Winter",roasted duck,"it would be slow and gradually getting louder, played with maybe a piano"
207,The Starry Night,6,"it feels quiet, calm, and slightly mystical or dreamy like a little unreal",4 - Agree,3 - Neutral/Unsure,5 - Strongly agree,2 - Disagree,3,2,$150,"Bedroom,Bathroom,Office","Friends,Family members,Strangers","Spring,Summer",starfruit,"it would be slow and flowing, but rich in sound like a violin"
207,The Water Lily Pond,8,"it feels relaxing and revitalizing, but also very still",3 - Neutral/Unsure,4 - Agree,4 - Agree,1 - Strongly disagree,1,1,$100,"Bedroom,Living room","Strangers,By yourself",Spring,floral tea,"it would sound slightly cheerful/uplifting but still peaceful, with maybe a few different instruments"
208,The Persistence of Memory,5,This painting makes me feel slightly hopeless and numb inside.,4 - Agree,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,5,3,35,Office,By yourself,Fall,alcohol,"rhythmic and depressing sounding, medium tempo, violins"
208,The Starry Night,3,Chill,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,3,25,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Pepperoni pizza,sounds like a lullaby with piano and harp
208,The Water Lily Pond,2,Chill and hopeful,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,1,55,"Bedroom,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",a refreshing salad,"cheerful yet calm, with flutes and violins"
209,The Persistence of Memory,4,"nostalgic, wistful, scattered",5 - Strongly agree,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,3,3,22,Office,"Strangers,By yourself",Winter,white bread,"muted tremolo in the cello and double basses section sparsely interjected by rapid, restless atonal figures on an oboe; harmonically ambiguous with unsettled meter; feels fleeting and ambiguous, fragmented"
209,The Starry Night,1,"dull, uninterested, mystical (but not really)",1 - Strongly disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,1 - Strongly disagree,3,2,0,"Living room,Dining room",Family members,Fall,French onion soup,Debussy-esque but strong tonal centre; lush harmonies but texturally sparse; perhaps solo piano
